
📺央卫网络,#genre#
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx
CGTN记录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
湖南卫视,http://183.250.156.180:9999/newlive/live/hls/30/live.m3u8
江苏卫视,http://183.250.156.180:9999/newlive/live/hls/31/live.m3u8
浙江卫视,http://183.250.156.180:9999/newlive/live/hls/32/live.m3u8
东方卫视,http://183.250.156.180:9999/newlive/live/hls/29/live.m3u8
深圳卫视,http://183.250.156.180:9999/newlive/live/hls/37/live.m3u8
海峡卫视,http://183.250.156.180:9999/newlive/live/hls/27/live.m3u8
湖北卫视,http://183.250.156.180:9999/newlive/live/hls/36/live.m3u8
山东卫视,http://183.250.156.180:9999/newlive/live/hls/35/live.m3u8
东南卫视,http://183.250.156.180:9999/newlive/live/hls/20/live.m3u8
厦门卫视,http://183.250.156.180:9999/newlive/live/hls/28/live.m3u8
安徽卫视,http://183.250.156.180:9999/newlive/live/hls/40/live.m3u8
贵州卫视,http://183.250.156.180:9999/newlive/live/hls/39/live.m3u8
河北卫视,http://183.250.156.180:9999/newlive/live/hls/33/live.m3u8
广东卫视,http://183.250.156.180:9999/newlive/live/hls/34/live.m3u8
黑龙江卫视,http://183.250.156.180:9999/newlive/live/hls/38/live.m3u8
福建少儿,http://183.250.156.180:9999/newlive/live/hls/26/live.m3u8
福建新闻,http://183.250.156.180:9999/newlive/live/hls/22/live.m3u8
福建旅游,http://183.250.156.180:9999/newlive/live/hls/24/live.m3u8
福建综合,http://183.250.156.180:9999/newlive/live/hls/19/live.m3u8
福建电视剧,http://183.250.156.180:9999/newlive/live/hls/23/live.m3u8
福建经济生活,http://183.250.156.180:9999/newlive/live/hls/25/live.m3u8
福建乡村振兴,http://183.250.156.180:9999/newlive/live/hls/21/live.m3u8
晴彩竞技,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=m
晴彩竞技,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011530&livemode=1&stbId=m
晴彩青少,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000031315&livemode=1&stbId=m
睛彩青少,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=m
晴彩广场舞,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=m
晴彩广场舞,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011524&livemode=1&stbId=m
晴彩篮球,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=m
晴彩篮球,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011531&livemode=1&stbId=m
CCTV7,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=m
CCTV7,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=m
荆州新闻,http://61.184.46.85:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
荆州垄上,http://61.184.46.85:85/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖北卫视,http://61.184.46.85:85/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖北经视,http://61.184.46.85:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖北影视,http://61.184.46.85:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖北生活,http://61.184.46.85:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖南卫视,http://61.184.46.85:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
广东卫视,http://61.184.46.85:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
深圳卫视,http://61.184.46.85:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
江苏卫视,http://61.184.46.85:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
安徽卫视,http://61.184.46.85:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
浙江卫视,http://61.184.46.85:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
上海卫视,http://61.184.46.85:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
山东卫视,http://61.184.46.85:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
北京卫视,http://61.184.46.85:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
天津卫视,http://61.184.46.85:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
河南卫视,http://61.184.46.85:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
河北卫视,http://61.184.46.85:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
黑龙江卫视,http://61.184.46.85:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
重庆卫视,http://61.184.46.85:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
四川卫视,http://61.184.46.85:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
辽宁卫视,http://61.184.46.85:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
海南卫视,http://61.184.46.85:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
福建东南卫视,http://61.184.46.85:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
风云足球,http://61.184.46.85:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
第一剧场,http://61.184.46.85:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
怀旧剧场,http://61.184.46.85:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC家庭影院,http://61.184.46.85:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC动作电影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
世界地理,http://61.184.46.85:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
金鹰纪实,http://61.184.46.85:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
卡酷少儿,http://61.184.46.85:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
金鹰卡通,http://61.184.46.85:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
凤凰资讯,http://61.184.46.85:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
浙江卫视,http://1.31.14.70:54321/hls/1/index.m3u8$内蒙古联通酒店
江苏卫视,http://1.31.14.70:54321/hls/3/index.m3u8$内蒙古联通酒店
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8$内蒙古联通酒店
黑龙江卫视,http://1.31.14.70:54321/hls/15/index.m3u8$内蒙古联通酒店
河北卫视,http://1.31.14.70:54321/hls/18/index.m3u8$内蒙古联通酒店
山西卫视,http://1.31.14.70:54321/hls/23/index.m3u8$内蒙古联通酒店
辽宁卫视,http://1.31.14.70:54321/hls/24/index.m3u8$内蒙古联通酒店
北京卫视,http://1.31.14.70:54321/hls/25/index.m3u8$内蒙古联通酒店
天津卫视,http://1.31.14.70:54321/hls/26/index.m3u8$内蒙古联通酒店
东方卫视,http://1.31.14.70:54321/hls/27/index.m3u8$内蒙古联通酒店
广东卫视,http://1.31.14.70:54321/hls/28/index.m3u8$内蒙古联通酒店
安徽卫视,http://1.31.14.70:54321/hls/29/index.m3u8$内蒙古联通酒店
宁夏卫视,http://1.31.14.70:54321/hls/30/index.m3u8$内蒙古联通酒店
新疆卫视,http://1.31.14.70:54321/hls/31/index.m3u8$内蒙古联通酒店
山东卫视,http://1.31.14.70:54321/hls/32/index.m3u8$内蒙古联通酒店
贵州卫视,http://1.31.14.70:54321/hls/33/index.m3u8$内蒙古联通酒店
重庆卫视,http://1.31.14.70:54321/hls/34/index.m3u8$内蒙古联通酒店
湖南卫视,http://1.31.14.70:54321/hls/35/index.m3u8$内蒙古联通酒店
广西卫视,http://1.31.14.70:54321/hls/36/index.m3u8$内蒙古联通酒店
云南卫视,http://1.31.14.70:54321/hls/37/index.m3u8$内蒙古联通酒店
湖北卫视,http://1.31.14.70:54321/hls/39/index.m3u8$内蒙古联通酒店
深圳卫视,http://1.31.14.70:54321/hls/40/index.m3u8$内蒙古联通酒店
四川卫视,http://1.31.14.70:54321/hls/41/index.m3u8$内蒙古联通酒店
江西卫视,http://1.31.14.70:54321/hls/42/index.m3u8$内蒙古联通酒店
青海卫视,http://1.31.14.70:54321/hls/43/index.m3u8$内蒙古联通酒店
河南卫视,http://1.31.14.70:54321/hls/44/index.m3u8$内蒙古联通酒店
甘肃卫视,http://1.31.14.70:54321/hls/45/index.m3u8$内蒙古联通酒店
陕西卫视,http://1.31.14.70:54321/hls/46/index.m3u8$内蒙古联通酒店
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8$内蒙古联通酒店
金鹰卡通,http://1.31.14.70:54321/hls/20/index.m3u8$内蒙古联通酒店
北京少儿,http://1.31.14.70:54321/hls/38/index.m3u8$内蒙古联通酒店
影视娱乐,http://1.31.14.70:54321/hls/56/index.m3u8$内蒙古联通酒店
第一剧场,http://1.31.14.70:54321/hls/59/index.m3u8$内蒙古联通酒店
肥西新闻综合,http://112.27.235.94:8000/hls/21/index.m3u8$合肥移动酒店
安徽经济生活,http://112.27.235.94:8000/hls/22/index.m3u8$合肥移动酒店
安徽公共,http://112.27.235.94:8000/hls/23/index.m3u8$合肥移动酒店
安徽影视,http://112.27.235.94:8000/hls/24/index.m3u8$合肥移动酒店
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8$合肥移动酒店
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8$合肥移动酒店
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8$合肥移动酒店
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8$合肥移动酒店
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8$合肥移动酒店
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8$合肥移动酒店
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8$合肥移动酒店
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8$合肥移动酒店
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8$合肥移动酒店
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8$合肥移动酒店
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8$合肥移动酒店
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8$合肥移动酒店
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8$合肥移动酒店
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8$合肥移动酒店
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8$合肥移动酒店
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8$合肥移动酒店
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8$合肥移动酒店
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8$合肥移动酒店
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8$合肥移动酒店
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8$合肥移动酒店
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8$合肥移动酒店
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8$合肥移动酒店
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8$合肥移动酒店
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8$合肥移动酒店
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8$合肥移动酒店
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8$合肥移动酒店
河南都市,http://42.227.89.129:9003/hls/18/index.m3u8$河南酒店
河南法治,http://42.227.89.129:9003/hls/20/index.m3u8$河南酒店
河南新闻,http://42.227.89.129:9003/hls/22/index.m3u8$河南酒店
河南新农村,http://42.227.89.129:9003/hls/24/index.m3u8$河南酒店
河南文物宝库,http://42.227.89.129:9003/hls/26/index.m3u8$河南酒店
北京卫视,http://42.227.89.129:9003/hls/31/index.m3u8$河南酒店
天津卫视,http://42.227.89.129:9003/hls/32/index.m3u8$河南酒店
山东卫视,http://42.227.89.129:9003/hls/33/index.m3u8$河南酒店
安徽卫视,http://42.227.89.129:9003/hls/34/index.m3u8$河南酒店
深圳卫视,http://42.227.89.129:9003/hls/35/index.m3u8$河南酒店
湖北卫视,http://42.227.89.129:9003/hls/37/index.m3u8$河南酒店
贵州卫视,http://42.227.89.129:9003/hls/41/index.m3u8$河南酒店
辽宁卫视,http://42.227.89.129:9003/hls/42/index.m3u8$河南酒店
重庆卫视,http://42.227.89.129:9003/hls/44/index.m3u8$河南酒店
吉林卫视,http://42.227.89.129:9003/hls/48/index.m3u8$河南酒店
甘肃卫视,http://42.227.89.129:9003/hls/51/index.m3u8$河南酒店
青海卫视,http://42.227.89.129:9003/hls/53/index.m3u8$河南酒店
内蒙古卫视,http://42.227.89.129:9003/hls/54/index.m3u8$河南酒店
卡酷少儿,http://42.227.89.129:9003/hls/57/index.m3u8$河南酒店
金鹰卡通,http://42.227.89.129:9003/hls/58/index.m3u8$河南酒店
CHC高清电影,http://42.227.89.129:9003/hls/59/index.m3u8$河南酒店
CHC动作电影,http://42.227.89.129:9003/hls/60/index.m3u8$河南酒店
CHC家庭影院,http://42.227.89.129:9003/hls/61/index.m3u8$河南酒店
河南卫视4K,http://42.227.89.129:9003/hls/100/index.m3u8$河南酒店
 

📡地方频道,#genre#
💚黑龙江卫视,http://112.99.195.122:65000/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江影视,http://112.99.195.122:65000/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江文体,http://112.99.195.122:65000/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江都市,http://112.99.195.122:65000/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江新闻法治,http://112.99.195.122:65000/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江少儿,http://112.99.195.122:65000/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0

💚黑龙江卫视,https://idclive.hljtv.com:4430/live/hljws_own.m3u8$官网内置解码线路
黑龙江新闻,https://idclive.hljtv.com:4430/live/hljxw_hd.m3u8$官网内置解码线路
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8$官网内置解码线路
黑龙江文体,https://idclive.hljtv.com:4430/live/hljwy_hd.m3u8$官网内置解码线路
黑龙江都市,https://idclive.hljtv.com:4430/live/dushi_hd.m3u8$官网内置解码线路
黑龙江农业,https://idclive.hljtv.com:4430/live/hljgg_hd.m3u8$官网内置解码线路
哈尔滨新闻,http://stream.hrbtv.net/xwzh/sd/live.m3u8$官网
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8$官网
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8$官网

💚吉林卫视,https://live-master.jlntv.cn/jlwshd/sd/live.m3u8
吉林卫视,http://tv.sohu.blog/d/fjbst.php?id=210
吉林卫视,http://tv.sohu.blog/d/xxqg.php?id=jlws
吉林吉祥新闻,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/da805d8d77a24db8aaa62328eb6d874e/index.m3u8
吉林教育,http://222.169.85.8:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

💚辽宁卫视,http://tv.sohu.blog/d/fjbst.php?id=194
辽宁都市,http://42.58.141.135:9003/hls/49/index.m3u8
辽宁影视剧,http://42.58.141.135:9003/hls/50/index.m3u8
辽宁体育,http://42.58.141.135:9003/hls/51/index.m3u8
辽宁生活,http://42.58.141.135:9003/hls/52/index.m3u8
辽宁教育青少,http://42.58.141.135:9003/hls/53/index.m3u8
辽宁北方,http://42.58.141.135:9003/hls/54/index.m3u8
辽宁公共,http://42.58.141.135:9003/hls/55/index.m3u8
辽宁经济,http://42.58.141.135:9003/hls/56/index.m3u8
辽宁移动电视,http://42.58.141.135:9003/hls/57/index.m3u8

💚河南新闻,http://1.94.31.214/php/hntv.php?id=hnxw
河南都市,http://42.227.89.129:9003/hls/18/index.m3u8 
河南民生,http://222.140.135.222:7000/rtp/225.1.4.53:1082
河南梨园,http://1.94.31.214/php/hntv.php?id=hnly
河南电视剧,http://1.94.31.214/php/hntv.php?id=hndsj
河南法治,http://42.227.89.129:9003/hls/20/index.m3u8
河南公共,http://1.94.31.214/php/hntv.php?id=hngg
河南乡村,http://42.227.89.129:9003/hls/24/index.m3u8
文物宝库,http://1.94.31.214/php/hntv.php?id=wwbk
武术世界,http://1.94.31.214/php/hntv.php?id=wspd
河南曲艺,http://1.94.31.214/php/hntv.php?id=jczy
象视界,http://1.94.31.214/php/hntv.php?id=xsj
象视界,http://xxwx.yoesun.com/xxw/河南网.php?id=xsj

💚河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=1893427200&k=590149d139a9820d4a4e5c89383199b1
河北经济生活,http://tv.pull.hebtv.com/jishi/jingjishenghuo.m3u8?t=1893427200&k=ad907331c90d847d7e7ae51764d8a09a            
河北三农,http://tv.pull.hebtv.com/jishi/nongminpindao.m3u8?t=1893427200&k=f07ae1d5be12d118d136be90e032bfce        
河北都市,http://tv.pull.hebtv.com/jishi/dushipindao.m3u8?t=1893427200&k=49867ab5d80a7564abaf8ee18868992f       
河北影视剧,http://tv.pull.hebtv.com/jishi/yingshijupindao.m3u8?t=1893427200&k=2bbbb53c494c02c044ed8805c541df4e          
河北少儿科教,http://tv.pull.hebtv.com/jishi/shaoerkejiao.m3u8?t=1893427200&k=d4a455b288ebbc0f53903f4750372b0f           
